trace_id,poly_l,coeff_i,k,z_pred_cls,z_pred_val,conf,z_conf,c_ok,z_ok,pair_ok
23714,3,37,805,2,-131072,0,0.99714,True,True,True
23717,3,40,808,1,131071,1,0.9962,True,True,True
23719,3,37,805,3,-131073,2,0.99784,True,True,True
23726,3,38,806,2,-131072,3,0.99541,True,True,True
23737,3,42,810,1,131071,2,0.99863,True,True,True
23739,3,37,805,3,-131073,1,0.99589,True,True,True
23748,3,42,810,0,131072,0,0.99881,True,True,True
23749,3,42,810,1,131071,0,0.99959,True,True,True
23750,3,38,806,2,-131072,2,0.99682,True,True,True
23753,3,42,810,1,131071,2,0.99722,True,True,True
23754,3,38,806,2,-131072,3,0.99881,True,True,True
23759,3,38,806,3,-131073,0,0.99985,True,True,True
23760,3,43,811,0,131072,0,0.99995,True,True,True
23761,3,42,810,1,131071,4,0.99693,True,True,True
23780,3,43,811,0,131072,4,0.99653,True,True,True
23781,3,42,810,1,131071,1,0.99982,True,True,True
23787,3,39,807,3,-131073,2,0.99957,True,True,True
23788,3,43,811,0,131072,0,0.99985,True,True,True
23789,3,43,811,1,131071,2,0.99929,True,True,True
23806,3,39,807,2,-131072,2,0.99735,True,True,True
23816,3,44,812,0,131072,3,0.99987,True,True,True
23817,3,44,812,1,131071,0,0.99961,True,True,True
23825,3,44,812,1,131071,5,0.99696,True,True,True
23834,3,40,808,2,-131072,0,0.99922,True,True,True
23839,3,41,809,3,-131073,2,0.99874,True,True,True
23840,3,45,813,0,131072,2,0.99965,True,True,True
23842,3,41,809,2,-131072,2,0.99849,True,True,True
23843,3,41,809,3,-131073,1,0.99942,True,True,True
23844,3,45,813,0,131072,2,0.99769,True,True,True
23845,3,45,813,1,131071,3,0.99946,True,True,True
23846,3,41,809,2,-131072,1,0.99531,True,True,True
23851,3,41,809,3,-131073,3,0.99937,True,True,True
23852,3,45,813,0,131072,4,0.99989,True,True,True
23853,3,45,813,1,131071,1,0.99932,True,True,True
23855,3,41,809,3,-131073,1,0.99944,True,True,True
23861,3,45,813,1,131071,1,0.99979,True,True,True
23873,3,46,814,1,131071,6,0.9951,True,True,True
23874,3,41,809,2,-131072,1,0.99911,True,True,True
23886,3,42,810,2,-131072,2,0.99721,True,True,True
23891,3,43,811,3,-131073,1,0.99994,True,True,True
23892,3,46,814,0,131072,0,0.99993,True,True,True
23894,3,42,810,2,-131072,3,0.99306,True,True,True
23898,3,43,811,2,-131072,1,0.99271,True,True,True
23899,3,43,811,3,-131073,3,0.99996,True,True,True
23901,3,46,814,1,131071,1,0.99679,True,True,True
23911,3,43,811,3,-131073,3,0.99969,True,True,True
23915,3,43,811,3,-131073,3,0.99732,True,True,True
23921,3,47,815,1,131071,2,0.99664,True,True,True
23927,3,44,812,3,-131073,0,0.99969,True,True,True
23929,3,47,815,1,131071,1,0.99862,True,True,True
23935,3,44,812,3,-131073,4,0.99987,True,True,True
